num,name,dialogue,is_selection,selection_dialogue,next_dialogue,CharacterID,using_food,using_medical,using_metarial
0,최유찬,가끔씩 이 모든 게 꿈이었으면 좋겠어…,FALSE,,,3,,,
,강유민,꿈이었으면 좋겠지. 하지만 현실이야.,FALSE,,,0,,,
,최유찬,그래% 네 말이 맞다...,FALSE,,,,,,
1,최유찬,지금이라도 다 포기하고 싶은 순간이 있긴 해.,FALSE,,,,,,
,강유민,포기해도 달라지는 건 없을 거야.,FALSE,,,,,,
,최유찬,냉정하네… 그래도 맞는 말이야.,FALSE,,,,,,
,강유민,냉정한 게 아니라% 현실을 보는 거지.,FALSE,,,,,,
2,최유찬,너는 이런 상황에서 뭘 제일 그리워해?,FALSE,,,,,,
,강유민,그런 거 생각해 본 적 없어.,FALSE,,,,,,
,최유찬,그래도 뭐 하나쯤은 있지 않을까?,FALSE,,,,,,
,강유민,그럴 시간에 지금 해야 할 일을 생각하는 게 나아.,FALSE,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,2,
